asic_num,pixel_name,pixel_num,asic_channel
7,Pix0L,0,26
7,Pix1L,1,15
7,Pix2L,2,8
7,Pix3L,3,1
7,Pix4L,4,29
7,Pix5L,5,13
7,Pix6L,6,5
7,Pix7L,7,0
7,Pix8S,8,30
7,Pix9S,9,21
7,Pix10S,10,11
7,Pix11S,11,3
8,Pix0L,0,26
8,Pix1L,1,15
8,Pix2L,2,8
8,Pix3L,3,1
8,Pix4L,4,29
8,Pix5L,5,13
8,Pix6L,6,5
8,Pix7L,7,0
8,Pix8S,8,30
8,Pix9S,9,21
8,Pix10S,10,11
8,Pix11S,11,3
9,Pix0L,0,26
9,Pix1L,1,15
9,Pix2L,2,8
9,Pix3L,3,1
9,Pix4L,4,29
9,Pix5L,5,13
9,Pix6L,6,5
9,Pix7L,7,0
9,Pix8S,8,30
9,Pix9S,9,21
9,Pix10S,10,11
9,Pix11S,11,3
10,Pix0L,0,26
10,Pix1L,1,15
10,Pix2L,2,8
10,Pix3L,3,1
10,Pix4L,4,29
10,Pix5L,5,13
10,Pix6L,6,5
10,Pix7L,7,0
10,Pix8S,8,30
10,Pix9S,9,21
10,Pix10S,10,11
10,Pix11S,11,3